matrix_id,name,tf_class,family,tax_group,species,acc,information_content,binding_preference
MA0849.1,FOXO6,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0850.1,FOXP3,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0855.1,RXRB,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0856.1,RXRG,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0857.1,Rarb,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0858.1,Rarb,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0860.1,Rarg,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0525.2,TP63,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0106.3,TP53,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0862.1,GMEB2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0863.1,MTF1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0024.3,E2F1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0866.1,SOX21,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0870.1,Sox1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0872.1,TFAP2A,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0916.1,Ets21C,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0917.1,gcm2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0922.1,ces-2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0924.1,pal-1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0926.1,unc-86,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0927.1,vab-7,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0328.2,MATALPHA2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0932.1,AHL12,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0933.1,AHL20,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0934.1,AHL25,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0935.1,NAC025,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0936.1,NAC046,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0937.1,NAC055,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0939.1,NAC079,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0940.1,AP1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0946.1,ARR11,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0947.1,ARR14,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0950.1,ATHB-12,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0951.1,ATHB-16,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0952.1,ATHB-51,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0957.1,BHLH3,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0958.1,BHLH13,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0959.1,AIB,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0960.1,BHLH104,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0963.1,bHLH78,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0967.1,BZIP60,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0972.1,CCA1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0975.1,CRF2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0977.1,DOF2.5,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0978.1,DREB1E,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
